Code,Libellé
C18.20Z,Reproduction d'enregistrements
C19.10Z,Cokéfaction
C19.20Z,Raffinage du pétrole
C20.11Z,Fabrication de gaz industriels
C20.12Z,Fabrication de colorants et de pigments
C20.13A,Enrichissement et retraitement de matières nucléaires
C20.13B,Fabrication d'autres produits chimiques inorganiques de base n.c.a.
C20.14Z,Fabrication d'autres produits chimiques organiques de base
C20.15Z,Fabrication de produits azotés et d'engrais
C20.16Z,Fabrication de matières plastiques de base
C20.17Z,Fabrication de caoutchouc synthétique
C20.20Z,Fabrication de pesticides et d'autres produits agrochimiques
C20.30Z,"Fabrication de peintures, vernis, encres et mastics"
C20.41Z,"Fabrication de savons, détergents et produits d'entretien"
C20.42Z,Fabrication de parfums et de produits pour la toilette
C20.51Z,Fabrication de produits explosifs
C20.52Z,Fabrication de colles
C20.53Z,Fabrication d'huiles essentielles
C20.59Z,Fabrication d'autres produits chimiques n.c.a.
C20.60Z,Fabrication de fibres artificielles ou synthétiques
C21.10Z,Fabrication de produits pharmaceutiques de base
C21.20Z,Fabrication de préparations pharmaceutiques
C22.11Z,Fabrication et rechapage de pneumatiques
C22.19Z,Fabrication d'autres articles en caoutchouc
C22.21Z,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
C22.22Z,Fabrication d'emballages en matières plastiques
C22.23Z,Fabrication d'éléments en matières plastiques pour la construction
C22.29A,Fabrication de pièces techniques à base de matières plastiques
C22.29B,Fabrication de produits de consommation courante en matières plastiques
C23.11Z,Fabrication de verre plat
C23.12Z,Façonnage et transformation du verre plat
C23.13Z,Fabrication de verre creux
C23.14Z,Fabrication de fibres de verre
C23.19Z,"Fabrication et façonnage d'autres articles en verre, y compris verre technique"
C23.20Z,Fabrication de produits réfractaires
C23.31Z,Fabrication de carreaux en céramique
C23.32Z,"Fabrication de briques, tuiles et produits de construction, en terre cuite"
C23.41Z,Fabrication d'articles céramiques à usage domestique ou ornemental
C23.42Z,Fabrication d'appareils sanitaires en céramique
C23.43Z,Fabrication d'isolateurs et pièces isolantes en céramique
C23.44Z,Fabrication d'autres produits céramiques à usage technique
C23.49Z,Fabrication d'autres produits céramiques
C23.51Z,Fabrication de ciment
C23.52Z,Fabrication de chaux et plâtre
C23.61Z,Fabrication d'éléments en béton pour la construction
C23.62Z,Fabrication d'éléments en plâtre pour la construction
C23.63Z,Fabrication de béton prêt à l'emploi
C23.64Z,Fabrication de mortiers et bétons secs
C23.65Z,Fabrication d'ouvrages en fibre-ciment
C23.69Z,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
C23.70Z,"Taille, façonnage et finissage de pierres"
C23.91Z,Fabrication de produits abrasifs
C23.99Z,Fabrication d'autres produits minéraux non métalliques n.c.a.
C24.10Z,Sidérurgie
C24.20Z,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
C24.31Z,Étirage à froid de barres
C24.32Z,Laminage à froid de feuillards
C24.33Z,Profilage à froid par formage ou pliage
C24.34Z,Tréfilage à froid
C24.41Z,Production de métaux précieux
C24.42Z,Métallurgie de l'aluminium
C24.43Z,"Métallurgie du plomb, du zinc ou de l'étain"
C24.44Z,Métallurgie du cuivre
C24.45Z,Métallurgie des autres métaux non ferreux
C24.46Z,Élaboration et transformation de matières nucléaires
C24.51Z,Fonderie de fonte
C24.52Z,Fonderie d'acier
C24.53Z,Fonderie de métaux légers
C24.54Z,Fonderie d'autres métaux non ferreux
C25.11Z,Fabrication de structures métalliques et de parties de structures
C25.12Z,Fabrication de portes et fenêtres en métal
C25.21Z,Fabrication de radiateurs et de chaudières pour le chauffage central
C25.29Z,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
C25.30Z,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
C25.40Z,Fabrication d'armes et de munitions
C25.50A,"Forge, estampage, matriçage ; métallurgie des poudres"
C25.50B,"Découpage, emboutissage"
C25.61Z,Traitement et revêtement des métaux
C25.62A,Décolletage
C25.62B,Mécanique industrielle
C25.71Z,Fabrication de coutellerie
C25.72Z,Fabrication de serrures et de ferrures
C25.73A,Fabrication de moules et modèles
C25.73B,Fabrication d'autres outillages
C25.91Z,Fabrication de fûts et emballages métalliques similaires
C25.92Z,Fabrication d'emballages métalliques légers
C25.93Z,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts"
C25.94Z,Fabrication de vis et de boulons
C25.99A,Fabrication d'articles métalliques ménagers
C25.99B,Fabrication d'autres articles métalliques
C26.11Z,Fabrication de composants électroniques
C26.12Z,Fabrication de cartes électroniques assemblées
C26.20Z,Fabrication d'ordinateurs et d'équipements périphériques
C26.30Z,Fabrication d'équipements de communication
C26.40Z,Fabrication de produits électroniques grand public
C26.51A,Fabrication d'équipements d'aide à la navigation
C26.51B,Fabrication d'instrumentation scientifique et technique
C26.52Z,Horlogerie
C26.60Z,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
C26.70Z,Fabrication de matériels optique et photographique
C26.80Z,Fabrication de supports magnétiques et optiques
C27.11Z,"Fabrication de moteurs, génératrices et transformateurs électriques"
C27.12Z,Fabrication de matériel de distribution et de commande électrique
C27.20Z,Fabrication de piles et d'accumulateurs électriques
C27.31Z,Fabrication de câbles de fibres optiques
C27.32Z,Fabrication d'autres fils et câbles électroniques ou électriques
C27.33Z,Fabrication de matériel d'installation électrique
C27.40Z,Fabrication d'appareils d'éclairage électrique
C27.51Z,Fabrication d'appareils électroménagers
C27.52Z,Fabrication d'appareils ménagers non électriques
C27.90Z,Fabrication d'autres matériels électriques
C28.11Z,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules"
C28.12Z,Fabrication d'équipements hydrauliques et pneumatiques
C28.13Z,Fabrication d'autres pompes et compresseurs
C28.14Z,Fabrication d'autres articles de robinetterie
C28.15Z,Fabrication d'engrenages et d'organes mécaniques de transmission
C28.21Z,Fabrication de fours et brûleurs
C28.22Z,Fabrication de matériel de levage et de manutention
C28.23Z,Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)
C28.24Z,Fabrication d'outillage portatif à moteur incorporé
C28.25Z,Fabrication d'équipements aérauliques et frigorifiques industriels
C28.29A,"Fabrication d'équipements d'emballage, de conditionnement et de pesage"
C28.29B,Fabrication d'autres machines d'usage général
C28.30Z,Fabrication de machines agricoles et forestières
C28.41Z,Fabrication de machines-outils pour le travail des métaux
C28.49Z,Fabrication d'autres machines-outils
C28.91Z,Fabrication de machines pour la métallurgie
C28.92Z,Fabrication de machines pour l'extraction ou la construction
C28.93Z,Fabrication de machines pour l'industrie agro-alimentaire
C28.94Z,Fabrication de machines pour les industries textiles
C28.95Z,Fabrication de machines pour les industries du papier et du carton
C28.96Z,Fabrication de machines pour le travail du caoutchouc ou des plastiques
C28.99A,Fabrication de machines d'imprimerie
C28.99B,Fabrication d'autres machines spécialisées
C29.10Z,Construction de véhicules automobiles
C29.20Z,Fabrication de carrosseries et remorques
C29.31Z,Fabrication d'équipements électriques et électroniques automobiles
C29.32Z,Fabrication d'autres équipements automobiles
C30.11Z,Construction de navires et de structures flottantes
C30.12Z,Construction de bateaux de plaisance
C30.20Z,Construction de locomotives et d'autre matériel ferroviaire roulant
C30.30Z,Construction aéronautique et spatiale
C30.40Z,Construction de véhicules militaires de combat
C30.91Z,Fabrication de motocycles
C30.92Z,Fabrication de bicyclettes et de véhicules pour invalides
C30.99Z,Fabrication d'autres équipements de transport n.c.a.
C31.01Z,Fabrication de meubles de bureau et de magasin
C31.02Z,Fabrication de meubles de cuisine
C31.03Z,Fabrication de matelas
C31.09A,Fabrication de sièges d'ameublement d'intérieur
C31.09B,Fabrication d'autres meubles et industries connexes de l'ameublement
C32.11Z,Frappe de monnaie
C32.12Z,Fabrication d'articles de joaillerie et bijouterie
C32.13Z,Fabrication d'articles de bijouterie fantaisie et articles similaires
C32.20Z,Fabrication d'instruments de musique
C32.30Z,Fabrication d'articles de sport
C32.40Z,Fabrication de jeux et jouets
C32.50A,Fabrication de matériel médico-chirurgical et dentaire
C32.50B,Fabrication de lunettes
C32.91Z,Fabrication d'articles de brosserie
C32.99Z,Autres activités manufacturières n.c.a.
C33.11Z,Réparation d'ouvrages en métaux
C33.12Z,Réparation de machines et équipements mécaniques
C33.13Z,Réparation de matériels électroniques et optiques
C33.14Z,Réparation d'équipements électriques
C33.15Z,Réparation et maintenance navale
C33.16Z,Réparation et maintenance d'aéronefs et d'engins spatiaux
C33.17Z,Réparation et maintenance d'autres équipements de transport
C33.19Z,Réparation d'autres équipements
C33.20A,"Installation de structures métalliques, chaudronnées et de tuyauterie"
C33.20B,Installation de machines et équipements mécaniques
C33.20C,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels
C33.20D,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels"
D35.11Z,Production d'électricité
D35.12Z,Transport d'électricité
D35.13Z,Distribution d'électricité
D35.14Z,Commerce d'électricité
D35.21Z,Production de combustibles gazeux
D35.22Z,Distribution de combustibles gazeux par conduites
