Code,Libellé
A01.11,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
A01.12,Culture du riz
A01.13,"Culture de légumes, de melons, de racines et de tubercules"
A01.14,Culture de la canne à sucre
A01.15,Culture du tabac
A01.16,Culture de plantes à fibres
A01.19,Autres cultures non permanentes
A01.21,Culture de la vigne
A01.22,Culture de fruits tropicaux et subtropicaux
A01.23,Culture d'agrumes
A01.24,Culture de fruits à pépins et à noyau
A01.25,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
A01.26,Culture de fruits oléagineux
A01.27,Culture de plantes à boissons
A01.28,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
A01.29,Autres cultures permanentes
A01.30,Reproduction de plantes
A01.41,Élevage de vaches laitières
A01.42,Élevage d'autres bovins et de buffles
A01.43,Élevage de chevaux et d'autres équidés
A01.44,Élevage de chameaux et d'autres camélidés
A01.45,Élevage d'ovins et de caprins
A01.46,Élevage de porcins
A01.47,Élevage de volailles
A01.49,Élevage d'autres animaux
A01.50,Culture et élevage associés
A01.61,Activités de soutien aux cultures
A01.62,Activités de soutien à la production animale
A01.63,Traitement primaire des récoltes
A01.64,Traitement des semences
A01.70,"Chasse, piégeage et services annexes"
A02.10,Sylviculture et autres activités forestières
A02.20,Exploitation forestière
A02.30,Récolte de produits forestiers non ligneux poussant à l'état sauvage
A02.40,Services de soutien à l'exploitation forestière
A03.11,Pêche en mer
A03.12,Pêche en eau douce
A03.21,Aquaculture en mer
A03.22,Aquaculture en eau douce
B05.10,Extraction de houille
B05.20,Extraction de lignite
B06.10,Extraction de pétrole brut
B06.20,Extraction de gaz naturel
B07.10,Extraction de minerais de fer
B07.21,Extraction de minerais d'uranium et de thorium
B07.29,Extraction d'autres minerais de métaux non ferreux
B08.11,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
B08.12,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
B08.91,Extraction des minéraux chimiques et d'engrais minéraux
B08.92,Extraction de tourbe
B08.93,Production de sel
B08.99,Autres activités extractives n.c.a.
B09.10,Activités de soutien à l'extraction d'hydrocarbures
B09.90,Activités de soutien aux autres industries extractives
C10.11,Transformation et conservation de la viande de boucherie
C10.12,Transformation et conservation de la viande de volaille
C10.13,Préparation de produits à base de viande
C10.20,"Transformation et conservation de poisson, de crustacés et de mollusques"
C10.31,Transformation et conservation de pommes de terre
C10.32,Préparation de jus de fruits et légumes
C10.39,Autre transformation et conservation de fruits et légumes
C10.41,Fabrication d'huiles et graisses
C10.42,Fabrication de margarine et graisses comestibles similaires
C10.51,Exploitation de laiteries et fabrication de fromage
C10.52,Fabrication de glaces et sorbets
C10.61,Travail des grains
C10.62,Fabrication de produits amylacés
C10.71,Fabrication de pain et de pâtisserie fraîche
C10.72,"Fabrication de biscuits, biscottes et pâtisseries de conservation"
C10.73,Fabrication de pâtes alimentaires
C10.81,Fabrication de sucre
C10.82,"Fabrication de cacao, chocolat et de produits de confiserie"
C10.83,Transformation du thé et du café
C10.84,Fabrication de condiments et assaisonnements
C10.85,Fabrication de plats préparés
C10.86,Fabrication d'aliments homogénéisés et diététiques
C10.89,Fabrication d'autres produits alimentaires n.c.a.
C10.91,Fabrication d'aliments pour animaux de ferme
C10.92,Fabrication d'aliments pour animaux de compagnie
C11.01,Production de boissons alcooliques distillées
C11.02,Production de vin (de raisin)
C11.03,Fabrication de cidre et de vins de fruits
C11.04,Production d'autres boissons fermentées non distillées
C11.05,Fabrication de bière
C11.06,Fabrication de malt
C11.07,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes
